2.583743,2.600981,2.609522,2.671342,2.834936,2.663132,2.568998,2.548185,2.532792,2.530251,2.639011,
2.610529,2.587905,2.571922,2.816920,2.507231,2.481524,2.535095,2.608230,2.517325,2.579802,2.833525,
2.488622,2.498033,2.638440,2.568215,2.625931,2.659836,2.688851,2.667180,2.551893,2.527513,2.516666,
2.578996,2.665466,2.532859,2.520535,2.685338,2.738085,2.527084,2.527788,2.514456,2.493311,2.508846,
2.568163,2.518138,2.522021,2.550079,2.544486,2.513715,2.546562,2.907154,2.743626,2.697630,2.638581,
2.876323,2.724553,2.706054,2.750281,2.858078,2.543743,2.777479,2.500736,2.547343,2.488057,2.491620,
2.495204,2.525708,2.858776,2.779963,2.637006,2.548243,2.495264,2.537948,2.520934,2.549000,2.544711,
2.511040,2.549626,2.635695,2.501901,2.766572,2.540378,2.570197,2.881308,2.802129,2.868496,2.527075,
2.546023,2.681709,2.656593,2.538407,2.524124,2.555275,2.996298,2.735840,3.543179,2.773347,2.566390,
2.506092,2.844413,2.503998,2.525848,2.525015,2.518235,2.516479,2.557705,2.555693,2.549254,2.577920,
