7.144241,6.981554,7.611183,7.949685,6.593409,6.065084,6.310804,7.395627,6.923490,6.558925,6.209209,
8.350660,8.190766,5.978459,6.155654,8.039937,7.879491,6.532068,5.907772,6.704632,7.538617,6.920618,
7.837905,6.369034,6.052588,6.386554,6.311725,6.443648,7.129536,6.907978,5.796689,5.893569,5.896373,
6.376296,5.807347,5.873931,5.751676,5.684962,6.186487,6.086456,6.527991,6.223449,5.926589,5.864634,
6.525506,5.878107,6.034084,6.111616,5.861219,5.884687,6.061545,5.957432,5.883716,6.272819,5.742399,
6.980301,6.131187,6.118155,6.614258,6.480865,5.906477,6.289406,5.931512,5.776216,5.976579,6.092703,
6.303744,5.945149,5.793990,5.708968,5.846627,6.544404,6.167424,6.036522,5.902471,6.342281,6.140031,
6.410850,6.368941,6.121293,6.108383,6.037936,5.835286,7.236116,5.883893,5.794370,6.424337,5.671257,
6.516904,5.673110,5.930188,6.073194,5.643159,5.738443,6.004464,5.905301,5.815199,5.869079,5.618771,
6.384170,5.826371,5.723933,5.853242,5.630392,5.754806,6.033538,5.844506,5.964956,5.780887,6.100596,
