5.528922,1.968971,2.051648,1.956418,1.968618,1.984737,2.088463,2.088097,1.891680,1.889870,1.960178,
5.809674,1.932007,2.070398,2.073754,2.045698,2.205256,1.995106,2.058000,1.998751,1.997169,1.960578,
5.436719,2.035224,1.962544,1.933043,1.890378,2.009359,1.949901,2.020954,1.907798,1.959521,2.121363,
5.640242,2.032752,1.942671,2.126753,2.086728,2.087134,2.013852,1.984913,1.968120,1.936089,1.933295,
5.612146,2.238325,2.015689,1.964863,2.290792,2.360232,2.619333,2.008914,1.926013,1.986658,2.023716,
5.453516,2.037480,2.007616,1.999271,2.188453,2.268576,1.942417,2.023764,2.086935,2.268156,1.945682,
5.727219,2.012588,1.973511,1.950164,2.016928,2.027349,1.943033,1.962240,1.953931,1.968247,2.048447,
5.673265,2.651780,1.958459,2.101956,2.214079,2.121900,2.196912,2.223542,2.002499,2.175837,2.252018,
5.541051,2.101765,2.148701,2.391916,2.301359,2.188577,1.944725,1.976574,2.092107,1.946864,1.999138,
5.638980,2.184277,1.992360,1.909514,2.084092,2.415204,2.166213,2.098343,2.016123,2.013740,2.039076,
